date, value, description, donor_id,judge_id 
6/20/11, 60.00, banquet, 349, 1291
, 80.00, tie, 350, 1291
12/2/11, 125.00, holiday party, 351, 1291
12/9/11, 180.00, holiday party, 352, 1291
1/20/11, 100.00, judges night/instalation of officers, 353, 1291
, , installation ofofficers, 353, 1291
, 180, board meetings+ education programs, 354, 1291
, , programs advisory board member parricipant on board advisor, 354, 1291
, , participant on board advisor, 354, 1291
6/9/11, 45.00, past pres. board metting, 355, 1291
meetings, 90.00, seminar/meeting, 355, 1291
4/20/11, 300.00, laker game, 91, 1291
3/14/11, 25.00, st. pat. reception, 91, 1291
4/9/11, 200.00, foodbeverages at social event, 356, 1294
, , at social event, 356, 1294
5/7/11, 200, food beverages, 357, 1294
5/19/11, 150, at social event, 357, 1294
11/18/11, 576.00, 2 opera tickets, 358, 1298
4/1/11, 75.00, annual dinner, 25, 1299
3/16/11, 75.00, edu. program dinner, 359, 1299
11/10/11, 75.00, edu.program dinner, 359, 1299
4/30/11, 100.00, visalia annual dinner, 59, 1299
11/19/11, 40.00, annual dinner, 360, 1299
12/29/11, 150.00, wine & cheese basket, 361, 1308
, , & gift certificate, 361, 1308
01/12/11, 65.00, dinner, 362, 1315
09/27/11, 50.00, lunch, 362, 1315
11/03/11, 65.00, dinner, 362, 1315
12/06/11, 50.00, hors d'oeuvres, 13, 1315
5/11, 400, overnight stay in moterey, 363, 1342
01/07/11, 50, candy & ornament, 364, 1350
01/07/11, 100, religious icon, 365, 1350
01/07/11, 100, champagne, 366, 1350
01/07/11, 50, book of psalms, 367, 1350
01/07/11, 100, candy & wine, 368, 1350
01/07/11, 50, relgious icon &, 369, 1350
, , prayer bookley, 369, 1350
01 07 11, 100, gavel, 370, 1350
01/07/11, 300, crystal cross, 371, 1350
01/07/11, 50, old testament, 372, 1350
01/07/11, 100, gavel, 373, 1350
01/07/11, 100, two ties, 374, 1350
01/07/11, 50, plaque, 375, 1350
01/07/11, 100, champagne, 376, 1350
01/07/11, 300, tie, 377, 1350
01/07/11, 100, cigar cutter/ligh, 378, 1350
01/07/11, 200, clock, 379, 1350
01/07/11, 200, art, 380, 1350
01/07/11, 50, picture frame, 381, 1350
01/07/11, 420, ancient coin, 382, 1350
01/07/11, 300, stamp collection, 383, 1350
1/7/11, 50, book, 383, 1350
1/7/11, 200, judicial robe, 383, 1350
01/07/11, 100, champagne, 384, 1350
01/07/11, 50, religious icon, 385, 1350
01/07/11, 50, letter opener, 386, 1350
01/07/11, 200, statue, 387, 1350
01/07/11, 25, engraved pen, 388, 1350
01/07/11, 110, card holder, 389, 1350
01/07/11, 65, bible, 390, 1350
03/20/11, 100, quilt from raffle, 391, 1363
4/25/11, 125.00, baseball tickets (2), 392, 1375
5/26/11, 50.00, dinner seminar euest, 393, 1375
, , dinner-seminar-guest, 393, 1375
9/6/11, 75.00, baseball ticket(1), 114, 1375
9/29/11, 125.00, baseball tickets, 394, 1375
6/9/11, 50.00, dinner-past, 393, 1375
, , presidents, 393, 1375
12/09/11, 200.00, holiday dinner party (2) tickets, 395, 1375
, , holiday dinner party (2) tickets, 395, 1375
1/20/11, 8676, enrobing ceremony, 396, 1385
3/13/11, 75, toshiba golf ticket, 396, 1385
1/20/11, 79.34, pro rata share of, 69, 1393
, , dinner for judges', 69, 1393
, , night, 69, 1393
12/25/11, 200, wine, 397, 1397
9/17/11, 80.00, attend dinner at state bar convention, 398, 1402
10/5/11, 20.00, attend alumni reception, 398, 1402
11/18/11, 250.00, north butte county, 63, 1430
, , courthouse print, 63, 1430
, , by jake early, 63, 1430
05/18/11, 128.25, book/o'connors ca, 12, 1432
, , practice civil pretrial , 12, 1432
09/12/11, 400.00, scholarship, 399, 1432
09/13/11, , registration fee, 399, 1432
09/14/11, , annual conference, 399, 1432
5/ /11, 100.00, gift card, 400, 1436
, 100, ljbtc dinner, 401, 1436
4//11, 100, usd alumni awards, 402, 1436
11/11, 50, usd law alum. lunch, 402, 1436
, 50, lunch, 403, 1436
12/ /11, 175.00, abota dinner, 404, 1436
8/1/12, 160.00, 4 concert tickets, 405, 1440
10/5/12, 160.00, 2 concert tickets, 405, 1440
3/26/11, 299.00, hotel room and meals, 406, 1443
05/13/11, 420, attendance at retreat, 407, 1446
04/01/11, 50, dinner, 25, 1448
11/10/11, 50.00, dinner, 8, 1448
1/2/11, 75.00, cle/bd mtgdinners, 150, 1459
9/13/11, 75.00, dinner, 150, 1459
12/13/11, 75.00, dinner, 150, 1459
04/01/11, 115.00, restaurant dinner, 408, 1477
11/1/11, 100.00, dinner, 409, 1477
7/21/11, 75, annual luncheon, 410, 1489
1/24/11, 55, dinner meeting & program, 411, 1489
3/15/11, 55, dinner meeting & program, 411, 1489
5/10/11, 55, dinner meeting & program, 411, 1489
1/18/11, 100, annual judges' dinner, 412, 1489
9/13/11, 55, dinner meeting & program, 413, 1489
4/ 8&9 /11, 200, jt bd retreat travel reimbursement yosemite ca, 413, 1489
7/19/11, 35, lunch program, 413, 1489
1/28-29/11, 100, employment law section seminar travel reimbursement for participating as a panelist, 414, 1489
9/20/11, 100, gala dinner yosemmite, 414, 1489
10/14-16/11, 1806.77, annual seminar jt bd meeting travel and lodging expenses santa barbara ca, 415, 1489
6/26&27/11, 457.23, travel reimbursement for participation as panelist philadelphia pa, 416, 1489
8/14/11, 70, cowboy hat, 417, 1507
8/14/11, 15, t shirt, 417, 1507
8/17/11, 12, belt buckle, 417, 1507
8/18/11, 110, walking stick, 418, 1507
8/18/11, 37, bsa books, 418, 1507
8/20/11, 30, name tags, 418, 1507
5/25/11, 200, hand carved caricature, 419, 1507
, , statute of boy scout, 419, 1507
, , leader, 419, 1507
09/ /11, 160.00, two tickets usc trojan football game - home., 420, 1511
, , game-home, 420, 1511
9/11, 50.00, dinner following football game, 421, 1511
, , football game, 421, 1511
12/4/11, 250, 1/2 of new, 422, 1517
, , apple i-pad, 422, 1517
, , ttwo, 422, 1517
12/30/11, 20.00, book, 423, 1517
12/30/11, 20.00, frute cake, 423, 1517
2/17/11, 25, brothers & nubil soft candy, 424, 1517
, , gift card, 424, 1517
4/29/11, 25, royal wcrolus, 425, 1517
, , cup, 425, 1517
12/15/11, 40.00, two blue cheeses, 426, 1517
, , cheeses, 426, 1517
12/18/11, 35.00, pears, 427, 1517
12/4/11, 35.00, egg nog +, 428, 1517
, , olliuc's, 428, 1517
12/4/11, 25.00, starbucks card, 429, 1517
12/12/11, 30.00, maper syspar, 430, 1517
, , ammonds, 430, 1517
12/4/11, 250, =1/2 of new, 431, 1517
, , apple i pad ii, 431, 1517
2/10/11, 55.00, basketball game ticket, 432, 1540
03/  /11, 8.00, lunch, 433, 1543
06/18/11, 24.00, baseball tickets, 433, 1543
03/05/11, 30.00, dinner, 434, 1543
11/15/11, 14.00, lunch-speaking at mtg., 435, 1543
11/7/11, 90, sharks hockey ticket, 436, 1549
, , ticket, 436, 1549
11/12/11, 50, instalustion, 325, 1549
6/9/11, 50, durges nita, 325, 1549
9/27/11, 50, judgeslunch, 325, 1549
11/3/11, 75, jinger dinner, 437, 1549
11/18/11, 250.00, north butte county, 63, 1551
, , courthouse print, 63, 1551
, , by jake early, 63, 1551
03/11, 145.00, entry fee for marathon, 438, 1553
3 11, 85.00, k-swiss shoes, 438, 1553
05/08/11, 415.00, registration fee, 439, 1553
9/25/11, 120, ticket to alameda county food bank, 440, 1561
, , county food bank event, 440, 1561
1/26/12, 95, ticket to mlic lunch, 441, 1561
2/10/2011, 400, desk clock retirement gift, 442, 1561
, , retirement gift, 442, 1561
4/27/11, 95, ticket to ca, 443, 1561
, , supreme court lunch, 443, 1561
2/5/11, 1600, discount on use of vacation home, 444, 1565
3/31/11, 85, round of golf, 445, 1565
2/21/11, 76, round of golf, 446, 1565
11/19/11, 1456, discounts to people who played golf with me, 447, 1565
5/29/11, 150, round of golf, 448, 1565
9/23/11, 250, golf tournament entry, 449, 1565
12/9/11, 200, holiday party, 114, 1565
12/28/11, 600, tickets to concert, 450, 1565
1/15/11, 100, round of golf, 451, 1565
3/25/11, 100, round of golf, 451, 1565
, 420.00, dinners (2011), 213, 1579
, 420.00, dinners (2011), 94, 1579
4/1/11, 75, annual dinner, 25, 1584
12/15/11, 50, holiday program, 452, 1584
4/30/11, 100, visalia annual dinner, 453, 1584
11/10/11, 75, ed. program dinner, 452, 1584
12/09/11, 100.00, dinner at christmas party, 454, 1588
, , party, 454, 1588
01/22/11, 50.00, more tickets (2), 455, 1595
09 25 11, 42.00, cold springs golf, 455, 1595
09/25/11, 80.00, casablanca event, 456, 1595
03/19/11, 100.00, barristers ball tickets, 457, 1595
03/25/11, 25.00, crab feed ticket, 458, 1595
01/29/11, 200.00, lake tahoe event, 459, 1595
7/23/11, 150, tickets, 460, 1598
11/13/11, 200, tickets, 461, 1598
7/27/11, 404, tickets, 462, 1598
7/29/11, 180, tickets, 463, 1598
9/10/11, 125.00, dinner for 2, 464, 1599
12/4/11, 100.00, football ticket/parking, 464, 1599
05/10/11, 50, lunch, 465, 1601
06 09 11, 50, reception, 465, 1601
09/20/11, 50, reception, 465, 1601
09/27/11, 50, lunch, 466, 1601
12/06/11, 50, lunch, 466, 1601
09/07/11, 175, dinner, 132, 1601
11 03 11, 60, dinner, 467, 1601
12/20/11, 210.00, wine, 468, 1614
11, 150.00, food at meetings, 69, 1622
, 100.00, food at meetings, 469, 1622
3/4/11, 300, 2 dinners at hispanic alumni of usc, 470, 1645
9/10/11, 500, i r/t ticket, 471, 1645
, , to wash d. c., 471, 1645
, , on behalf of latino advocates for bd inc, 471, 1645
5/10/11, 100, angel's, 472, 1645
, , baseball, 472, 1645
, , game, 472, 1645
10 20 11, 250, 2 dinner, 473, 1645
, , tickets to, 473, 1645
, , hisp. ed. end. fund event., 473, 1645
8/25/11, 400, 2dinner, 474, 1645
, , tickets, 474, 1645
9/1/10, 120.00, won tickets for catalina jazz festival, 475, 1651
