date, value, description, donor_id,judge_id 
5/18/11, 2500, lunch, 72, 456
6/15/11, 25.00, lunch, 72, 456
9/16/11, 250.00, event tickets, 73, 458
12/22/11, 100.00, meat & nuts, 73, 458
01/18/11, 70, awards dinner, 74, 459
08/12/11, 216, concert tix, 75, 464
11/30/2011, 27.00, snackbeverage & parki, 76, 466
5/9/2011, 20.00, food & bev at, 77, 466
, , abjict judicial, 77, 466
, , reception, 77, 466
1/13/2011, 20.00, food + bev. at, 78, 466
, , jorge arguulles, 78, 466
, , investiture, 78, 466
12/8/11, 20.00, food and bev, 79, 466
, , holiday reception, 79, 466
10/15/11, 240, 2 college football game, 80, 472
, , tickets with food/drink, 80, 472
, , in stadium suite, 80, 472
01/15/11, 250, j lakers tickets, 81, 484
06/-/11, 100, gift certificate, 82, 489
12/ /11, 100, blanket, 82, 489
06/01/11, 50, picture frame napkinds, 83, 489
12/01/11, 50, shirt, 83, 489
4/1/11, 75.00, 1 ticket to bar event, 84, 495
, , event, 84, 495
06/18/11, 250.00, ticket to bar event, 84, 495
, , event, 84, 495
11/30/11, 125, ticket to bar event, 8, 495
, , event, 8, 495
5/19/11, 50.00, gift certificate, 85, 498
04/01/11, 75.00, annual dinner, 25, 499
09/28/11, 20.00, appreciation event, 25, 499
, , $40.00, 86, 510
1/7/11, 74.00, meals, 87, 520
3/4/11, 20.00, meals, 87, 520
4/8/11, 66.00, meals, 87, 520
6/7/11, 323.00, meals + reception, 54, 520
6/6/11, 202.00, hotel - 1 night, 54, 520
9/15/11, 5.00, refreshments, 54, 520
9/18/11, 40.00, meals, 87, 520
11/4/11, 32.00, meals, 87, 520
6/9/11, 65.00, cocktail reception, 88, 532
9/27/11, 50, lunch, 88, 532
12/6/11, 50, lunch, 88, 532
12/16/11, 50.00, xmas party, 89, 532
12/09/11, 150, meal at christmas, 90, 541
, , party, 90, 541
12/04/11, 100, food at christmas, 91, 541
, , party reception, 91, 541
1/22/11, 70, 2 tickets to a music concert, 92, 543
8/7/11, 70, 2 tickets to a music concert, 92, 543
10/22/11, 300.00, tickets (spouse & self), 93, 545
, , installation of officers*, 93, 545
1/26/11, 150.00, meet the judges night*, 94, 545
, , (dinner ticket provided), 94, 545
1/20/11, 100, dinner, 95, 555
8/25/11, 800, fishing trip, 96, 555
01/01/2011, 100, food/, 97, 556
4/27/11, 150, dinner and enter-, 98, 561
, , tainment, 98, 561
6/9/11, 75, hall of fame dinner , 99, 561
, , program, 99, 561
9/7/11, 55, dinner and enter-, 100, 561
, , tainment, 100, 561
9/30/12, 75, champions of justice, 101, 561
, , dinner, 101, 561
12/14/11, 60, bench bar reception, 102, 561
1/10/11, 65, bench bar luncheon, 103, 561
1/22/11, 150, annual dinner program, 104, 561
, , and entertainment, 104, 561
1/26/11, 110, bench bar luncheon, 105, 561
1/27/11, 150, annual installation, 106, 561
, , dinner and, 106, 561
, , entertainment, 106, 561
3/25/11, 300, dinner program and, 107, 561
, , speaker, 107, 561
4/5/11, 95, dinner program, 8, 561
2/15/11, 150, dinner for my wife and me, 108, 564
01/01/11, 120, parking sass for cal bears men's basketball games, 109, 564
11/01/11, , basketball games(total - 8 games), 109, 564
7/18/11, 94, a pair of gants tickets for one game, 110, 564
, , game, 110, 564
, 75, dinner for my wife and me, 111, 564
2/3/11, 90, dinner for my wife & me, 112, 564
8/27/11, 150, a pair of giants tickets for one game, 113, 564
, , game, 113, 564
12/8/11, 140, xmas dinner, 114, 565
8/10/11, 130, baseball tx, 91, 565
4/15/11, 50.00, dinner, 115, 568
1/7/11, 50.00, dinner, 116, 568
1/2/11, 70.00, basketball tickets, 117, 568
1/16/11, 50.00, lunch, 118, 568
2/13/11, 157.00, dinner & concert, 119, 568
12/23/11, 75.00, services, 120, 568
6/17/11, 255.00, baseball tickets, 121, 568
11/18/11, 250.00, print-new courthouse, 63, 570
02/11/11, 162.48, wine, 122, 579
11, 150, autographed cap, 123, 583
12/15/11, 50, desk crystal ball, 124, 583
, , wall art, 125, 588
, , annual dinner for past presidents, 126, 588
9/14/11, 360, dodger tickets, 127, 590
4 8 10 11, 639.35, teaching/hotel rents, 128, 593
4/8-10/11, 639.35, meeting / airplane, 128, 593
, , meals rehistration, 128, 593
10/3/10, 1072.08, airplanes taxi's & hotels, 129, 593
, , & registration, 129, 593
9/16-18/11, 325.60, art airplane taxi, 130, 593
08/27/11, 150, one football game ticket, 131, 598
09/7/11, 170, tickets to fox event, 132, 598
10/28/11, 50x2=$100, event (z)tickets to women's lawyers fundraiser, 132, 598
, , fundraiser, 132, 598
11/3/11, 65, dinner honoring judge hall, 133, 598
9/27/11, 65, bairsters judges lunch probate section, 133, 598
12/15/11, 140, probate sectiongift basket lunch, 133, 598
7/28/11, 80, a's baseball ticket, 134, 598
10/28/11, 25, food beverages, 135, 599
12/8/11, 25, food beverages, 135, 599
01/28/11, 100.00, 2 tickets-annual dinner, 136, 289
3/25/11, 100.00, 1 ticket-annual seminar, 137, 289
, , dinner, 137, 289
12/26/11, 100.00, kings tickets (4), 138, 289
9 30 11, 50.00, dinner-loyola law sch, 139, 289
10/18/11, 30.00, dinner-tulipano's, 140, 289
07/02/11, 180.00, tix (6) angel's game, 141, 289
1/22/11, 100, dinner at programbree to judges, 142, 608
4/29/11, 50, lunch at educational program where i was invited to attend, 143, 608
, , not sure for this.needs to be reported., 143, 608
, , was a participant in discussion at luncheon., 143, 608
12/13/11, 75, cocktails & hors d' oeuvres at reception free to judges, 144, 608
3/10/11, 75, cocktails + hors d' oeuvres at reception free to judges, 144, 608
3/11/11, 75, luncheon free to judges w/ speaker, 144, 608
11 8 11, 50, attend "mixer" dinner free to invited judges, 145, 608
4/5/11, 110, dinner at program - free to judges, 146, 608
1/28/11, 95, educational lunch free to judges, 146, 608
9/7/11, 100, attend bar assin meeting dinner free to sions, 147, 608
4/27/11, 50/50, attend joint bar assn meeting between stadium, 147, 608
12/6/11, 75, attend bar assn supreme court night, 147, 608
1/25/11, 90, dinner in connection, 148, 609
12/13/11, 90, with educational pro-, 148, 609
, , grams; judges receive, 148, 609
08 10, 100, dinner- all, 149, 610
, , family law judicial officers, 149, 610
1/1/11, 120.00, 4x$30, 150, 611
12/31/11, , dinners, 150, 611
12/  /10, 70.00, holiday dinner, 151, 611
1/1/11, 150.00, 5x$30, 152, 611
12/31/11, , dinners, 152, 611
12/ /11, 30.00, holiday, 153, 611
, , dinner, 153, 611
01/01/11, 1000, tickets (250x4), 154, 612
08/12/11, 50, open house, 155, 612
, 100, attended 5 monthly lunch meetings, 156, 613
12/6/11, 120, dinner with aaml members, 157, 613
, , aaml memebers of which i am a mentor, 157, 613
, , am a memberwinter annual, 157, 613
05/07/11, 165.00, dinner, 158, 622
05/19/11, 55.00, dinner, 159, 622
11/18/11, 250.00, north butte county, 63, 635
, , courthouse print by , 63, 635
, , jake early, 63, 635
07 30 11, 100.00, restaurant gift card, 160, 643
12/17/11, 300.00, cash, 161, 667
12/17/11, 150.00, gift certificate, 162, 667
12/17/11, 100.00, gift certificate, 163, 667
12/17/11, 40.00, gift certificate, 164, 667
12 17 11, 75.00, toasting flutes, 165, 667
12/17/11, 40.00, just married ornaments, 165, 667
12/17/11, 100.00, gift certificate, 166, 667
12/17/11, 100.00, bible, 167, 667
12/17/11, 25.00, book, 167, 667
12/17/11, 80.00, gift certificate, 168, 667
12/17/11, 80.00, gift certificate, 169, 667
12/17/11, 200.00, gift certificate, 170, 667
12 17 11, 50.00, gift certificate, 171, 667
12/17/11, 25.00, gift certificate, 172, 667
12/17/11, 50.00, gift certificate, 173, 667
12/17/11, 100.00, gift certificate, 174, 667
12/17/11, 75.00, gift certificate, 175, 667
12/17/11, 100.00, gift certificate, 176, 667
12 17 11, 75.00, gift certificate, 177, 667
12/17/11, 225.00, gift certificate, 178, 667
12/17/11, 80.00, gift certificate, 179, 667
2/10/11, 125.00, facial, 180, 669
02/13/11, 120, parking, 181, 681
03/20/11, 120, parking, 181, 681
12/15/11, 200, 6 bottles of wine, 182, 689
12/08/11, 150, two magnums of wine, 183, 689
12/09/11, 150.00, dinner, 184, 692
09/17/11, 120.00, cal football tickets, 185, 694
10/22/11, 120.00, cal football tickets, 185, 694
09/08/11, 525, gift certificate for, 186, 695
, , misto lino, 186, 695
01/20/11, 50.00, meal at "judges night", 69, 696
11/01/12, 178.00, 49ers steelers, 187, 702
02/14/11, 280.00, 4 tickets to wwf event, 188, 704
1/29/11, 350, tuition, 189, 707
06/09/11, 65.00, judges night, 13, 710
12/10/11, 50.00, holiday party, 190, 710
12/16/11, 60.00, holiday party, 191, 710
1/18/11, 100, meal, 192, 714
9/01/11, 1500, use of home, 193, 715
09/15/11, 5.00, refreshments, 12, 720
09/18/11, 40.00, lunch, 12, 720
11/04/11, 32.00, cont bkfst & lunch, 12, 720
5/12/11, 227, community prop, 194, 733
, , book won in a , 194, 733
, , raffle @ cja conf, 194, 733
8/6/11, 130, wine as compnstn, 195, 733
, , for officiating at, 195, 733
, , a wedding, 195, 733
11/18/11, 250.00, earley print nbcc, 196, 736
12/17/11, 80.00, 2 basketball tickets, 197, 753
01/25/11, 150.00, gift certificate, 198, 763
05/28/11, 100.00, restaurant gift cert, 199, 763
12/9/11, 125, ticket-kid's turn event, 200, 764
10/30/11, 200.00, accommodations, 201, 781
10/31/11, 240.00, accommodations, 201, 781
, , and meales, 201, 781
9/17/11, 170.00, 2 tickets- awards gala, 202, 782
06/11/11, 40.00, 2 tickets + parking, 203, 782
5/10/11, 50.00, awards luncheon, 204, 782
12/06/11, 50.00, holiday luncheon, 204, 782
9/20/11, 25.00, reception/chief justic, 205, 782
12/06/11, 25.00, reception/chief judge, 205, 782
9/27/11, 50.00, installation luncheon, 206, 782
7/14/11, 50.00, awards luncheon, 207, 782
7/27/11, 75.00, annual judges dinner, 208, 782
4/15/11, 50.00, fund raiser luncheon, 209, 782
04/01/11, 75.00, annual dinner, 25, 805
09/28/11, 20.00, appreciation event, 25, 805
03/16/11, 75.00, edu. program dinner, 210, 805
11/10/11, 75.00, edu.program dinner, 210, 805
1/22/11, 100.00, attend annual dinner, 211, 815
12/1/11, 100.00, meals at board mtg., 212, 815
9/22/11, 80.00, meals at board mtg., 212, 815
, 200.00, lunches-see below, 213, 815
1/26/11, 40.00, bench-bar lunch, 213, 815
6/4/11, 60.00, exec. com. dinner, 213, 815
9/16/11, 115.00, concert tickets & food, 214, 815
3/11/11, 120.00, meals at board retreat, 215, 815
5/14/11, 100.00, meals at board mtg., 215, 815
9/21/11, 50.00, meal at bldg. dedicatio, 215, 815
10/15/11, 100.00, hotel room, 216, 823
